actor,character,season,episode
William Shatner,Captain James T. Kirk,1,1
Leonard Nimoy,Mr. Spock,1,1
Jeanne Bal,Nancy Crater,1,1
Alfred Ryder,Professor Robert Crater,1,1
DeForest Kelley,Dr. McCoy,1,1
Grace Lee Whitney,Yeoman Janice Rand,1,1
George Takei,Sulu,1,1
Nichelle Nichols,Uhura,1,1
Bruce Watson,Green,1,1
Michael Zaslow,Darnell,1,1
Vince Howard,Crewman,1,1
Francine Pyne,Nancy III,1,1
Budd Albright,Barnhart (uncredited),1,1
Larry Anthony,Berkeley (uncredited),1,1
John Arndt,Crewman Sturgeon (uncredited),1,1
Bob Baker,Beauregard (uncredited),1,1
Bill Blackburn,Lt. Hadley (uncredited),1,1
Frank da Vinci,Brent (uncredited),1,1
James Doohan,Scott (voice) (uncredited),1,1
Sharon Gimpel,M-113 Creature (uncredited),1,1
Jeannie Malone,Yeoman (uncredited),1,1
Eddie Paskey,Lt. Ryan (uncredited),1,1
Anthony Larry Paul,Transporter Operator (uncredited),1,1
Garrison True,Security Guard (uncredited),1,1
William Shatner,Captain James T. Kirk,1,2
Leonard Nimoy,Mr. Spock,1,2
Robert Walker Jr.,Charlie Evans (as Robert Walker),1,2
DeForest Kelley,Dr. McCoy,1,2
Grace Lee Whitney,Yeoman Janice Rand,1,2
Nichelle Nichols,Uhura,1,2
Charles Stewart,Captain Ramart (as Charles J. Stewart),1,2
Dallas Mitchell,Tom Nellis,1,2
Don Eitner,Navigator,1,2
Pat McNulty,Tina Lawton (as Patricia McNulty),1,2
John Bellah,Crewman I,1,2
Garland Thompson,Crewman II,1,2
Abraham Sofaer,The Thasian,1,2
Bill Blackburn,Lt. Hadley (uncredited),1,2
Frank da Vinci,Brent,1,2
Frank da Vinci,Security Guard (uncredited),1,2
Bob Herron,Sam (uncredited),1,2
John Lindesmith,Helmsman (uncredited),1,2
Eddie Paskey,Lt. Leslie (uncredited),1,2
Gene Roddenberry,Enterprise Chef (voice) (uncredited),1,2
George Takei,Hikaru Sulu (voice) (uncredited),1,2
Ron Veto,Security Guard (uncredited),1,2
Laura Wood,Prematurely Aged Woman (uncredited),1,2
William Shatner,Captain James T. Kirk,1,3
Leonard Nimoy,Mr. Spock,1,3
Gary Lockwood,Lt. Cmdr. Gary Mitchell,1,3
Sally Kellerman,Dr. Elizabeth Dehner,1,3
George Takei,Sulu,1,3
James Doohan,Scott,1,3
Lloyd Haynes,Alden,1,3
Andrea Dromm,Yeoman Smith,1,3
Paul Carr,Lt. Lee Kelso,1,3
Paul Fix,Dr. Mark Piper,1,3
Bill Blackburn,Lt Hadley (uncredited),1,3
Eddie Paskey,Lt. Leslie (uncredited),1,3
William Shatner,Captain James T. Kirk,1,4
Leonard Nimoy,Mr. Spock,1,4
Stewart Moss,Tormolen,1,4
Majel Barrett,Nurse Christine Chapel,1,4
Bruce Hyde,Kevin Riley,1,4
DeForest Kelley,Dr. McCoy,1,4
Grace Lee Whitney,Yeoman Janice Rand,1,4
George Takei,Sulu,1,4
James Doohan,Scott,1,4
Nichelle Nichols,Uhura,1,4
William Knight,Amorous Crewman,1,4
John Bellah,Laughing Crewman,1,4
Bill Blackburn,Lt. Hadley (uncredited),1,4
Frank da Vinci,Lt. Brent (uncredited),1,4
Eddie Paskey,Lt. Ryan (uncredited),1,4
Woody Talbert,Crewman #2 (uncredited),1,4
Ron Veto,Crewman (uncredited),1,4
William Shatner,Captain James T. Kirk,1,5
Leonard Nimoy,Mr. Spock,1,5
DeForest Kelley,Dr. McCoy,1,5
Grace Lee Whitney,Yeoman Janice Rand,1,5
George Takei,Sulu,1,5
James Doohan,Scott,1,5
Ed Madden,Fisher (as Edward Madden),1,5
Garland Thompson,Wilson,1,5
Jim Goodwin,Farrell,1,5
Nichelle Nichols,Uhura (voice) (uncredited),1,5
